Trip,Location,Exposure,Depth,Site,Site_unique,site_meangamma,habitat_meangamma,Date,quadrat_cattletag,Quadrat2,time,photos_each_piece,Number_coral_recruits_less5cm,Survey_depth_m,quadrat_angle,Quadrat_angle2,depth_standardised_to_tide_at_dive_time,Survey_layer,Patch_width_m,Patch_length_m,Patch_area_m2,distance_centre_to_closest_patch_edge_m,distance_centre_to_closest_patch_edge_m_2,Average_bed_depth_cm,bed_depth_1,bed_depth_2,bed_depth_3,bed_depth_4,bed_depth_5,bed_depth_6,bed_depth_7,bed_depth_8,Piece,Unique_piece,Layer_in_rubble_bed,Percent_hidden_in_bed,number_contact_points,Number_contact_points2,max_gap_size_to_right_cm,Max_gap_size_to_right_cm2,stable_y_n,stable_0-1,Stable_0-1_v2,Stable_0-2,stable_description,Stable_description2,widest_span_cm,Widest_span_cm2,"morphology (change to very branched, limited branching, unbranched, other)",morphology,Morphology2,Number of branches,Num_branches2,Num_branches3_0_for_other,Interlocking_morphology_or_not-Branched_Plate,number_binds,Number_binds2,estimated_break_force_from_grids_bind_number_break_force_correlation,e_break_force2,e_break_force3,Bound,Bound_to_how_many,number_binder_types,binder1,binder1-new,Binder1-broad_cat,Binder1_length_cm,binder2,binder2-new,Binder2-broad_cat,Binder2_length_cm,binder3,binder3-new,Binder3-broad_cat,Binder3_length_cm ,binder4,binder4-new,Binder4-broad_cat,Binder4_length_cm,binder5,binder5-new,Binder5-broad_cat,Binder5_length_cm,binder6-new,Binder6-broad_cat,Binder6_length_cm,Binder7-broad_cat,Binder7_length_cm,Binder8-broad_cat,Binder8_length_cm,Binder9-broad_cat,Binder9_length_cm,Binder10-broad_cat,Binder10_length_cm,Binder11-broad_cat,Binder11_length_cm,Binder12-broad_cat,Binder12_length_cm,Binder13-broad_cat,Binder13_length_cm,Binder14-broad_cat,Binder14_length_cm,Binder15-broad_cat,Binder15_length_cm,Surveyor
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,1,1,NA,NA,not recorded,NA,2.5,2.5,y,1,1,1,interlocked,interlocked,10.1,10.1,branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,2,2,NA,NA,not recorded,NA,0.4,0.4,y,1,1,1,heavy,heavy,18.5,18.5,boulder,boulder,other,no photos,0,0,0,2,2,1.23,1.23,1.23,1,1,1,macroalgae,Macroalgae,Other macroalgae,1.2,macroalgae,Macroalgae,Other macroalgae,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,3,3,NA,NA,not recorded,NA,2.5,2.5,n,0,0,0,unstable,unstable,20.5,20.5,unbranched,unbranched,unbranched,no photos,0,0,0,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,4,4,NA,NA,not recorded,NA,2.5,2.5,n,0,0,0,unstable,unstable,6.4,6.4,branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,5,5,NA,NA,not recorded,NA,1.1,1.1,y,1,1,1,interlocked,interlocked,9.3,9.3,branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,6,6,NA,NA,not recorded,NA,1,1,n,0,0,0,unstable,unstable,16.5,16.5,branched,branched,branched,no photos,NA,NA,1,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,7,7,NA,NA,not recorded,NA,0.5,0.5,n,0,0,0,unstable,unstable,4.9,4.9,unbranched,unbranched,unbranched,no photos,0,0,0,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,8,8,NA,NA,3,3,0.8,0.8,y,1,1,2,buried,buried,7.5,7.5,plate,plate,other,no photos,NA,0,1,2,2,1.23,1.23,1.23,1,1,2,sponge,Sponge,Sponge,3.5,macroalgae,Macroalgae,Other macroalgae,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,9,9,NA,NA,2,2,0.6,0.6,n,0,0,0,unstable,unstable,5,5,unbranched,unbranched,unbranched,no photos,0,0,0,0,0,-1.31,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2021,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,0.7861196,0.6843807,44463,7,259,NA,no,NA,16,Unknown,flat,Maybe fill in later,Surface,3.2,1,3.2,0.55,0.55,4.0625,3,7,2,3,6,1.5,8,2,10,10,NA,NA,3,3,0.5,0.5,n,0,0,0,unstable,unstable,12.8,12.8,branched,branched,branched,no photos,NA,NA,1,2,2,1.23,1.23,1.23,1,2,1,sponge,Sponge,Sponge,1.1,sponge,Sponge,Sponge,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
