Trip,Location,Exposure,Depth,Site,Site_unique,Date,Quadrat2,time,photos_each_piece,Number_coral_recruits_less5cm,Survey_depth_m,Quadrat_angle2,Survey_layer,Patch_width_m,Patch_area_m2,distance_centre_to_closest_patch_edge_m_2,Average_bed_depth_cm,bed_depth_1,bed_depth_2,bed_depth_3,bed_depth_4,bed_depth_5,bed_depth_6,bed_depth_7,bed_depth_8,Piece,Unique_piece,Layer_in_rubble_bed,Percent_hidden_in_bed,Number_contact_points2,Max_gap_size_to_right_cm2,stable_y_n,Stable_0-1,Stable_0-2,Stable_description2,Widest_span_cm2,Morphology2,Num_branches2,Interlocking_morphology_or_not-Branched_Plate,Number_binds2,Bound,Bound_to_how_many,binder1,binder1-new,Binder1-broad_cat,Binder1_length_cm,binder2,binder2-new,Binder2-broad_cat,Binder2_length_cm,binder3,binder3-new,Binder3-broad_cat,Binder3_length_cm ,binder4,binder4-new,Binder4-broad_cat,Binder4_length_cm,binder5,binder5-new,Binder5-broad_cat,Binder5_length_cm,binder6-new,Binder6-broad_cat,Binder6_length_cm,Binder7-broad_cat,Binder7_length_cm,Binder8-broad_cat,Binder8_length_cm,Binder9-broad_cat,Binder9_length_cm,Binder10-broad_cat,Binder10_length_cm,Binder11-broad_cat,Binder11_length_cm,Binder12-broad_cat,Binder12_length_cm,Binder13-broad_cat,Binder13_length_cm,Binder14-broad_cat,Binder14_length_cm,Binder15-broad_cat,Binder15_length_cm,Surveyor
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,4,0.527777778,yes,2,16,flat,Surface,3.34,6.7134,0.61,6.7375,7,4.5,6,5.4,7,9,10,5,8,1213,First,80-100%,2,1.5,y,1,1,interlocked,14.5,branched,5,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,4,0.527777778,yes,2,16,flat,Surface,3.34,6.7134,0.61,6.7375,7,4.5,6,5.4,7,9,10,5,9,1214,First,0-20%,3,2.8,n,0,0,unstable,8.3,branched,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,4,0.527777778,yes,2,16,flat,Surface,3.34,6.7134,0.61,6.7375,7,4.5,6,5.4,7,9,10,5,10,1215,First,0-20%,2,1.7,y,1,1,interlocked,10.6,branched,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,4,0.527777778,yes,2,16,flat,Surface,3.34,6.7134,0.61,6.7375,7,4.5,6,5.4,7,9,10,5,11,1216,First,80-100%,3,1.3,n,0,0,unstable,8.9,branched,2,1,1,1,1,red turf,Turf algae,Turf algae,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tania
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,1,1292,First,0-20%,4,0.6,n,0,0,unstable,7.6,unbranched,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,2,1293,First,40-60%,4,0.9,y,1,1,heavy,19.4,unbranched,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,3,1294,First,80-100%,4,1.1,y,1,1,interlocked,10.9,branched,1,1,2,1,1,sponge,sponge,Sponge,0.5,sponge,sponge,Sponge,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,4,1295,Second,80-100%,3,0.4,y,1,1,buried,9.3,unbranched,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,5,1296,First,80-100%,2,1.6,n,0,0,unstable,4.9,other,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,6,1297,First,80-100%,3,1.6,n,0,0,unstable,9.6,branched,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,7,1298,First,20-40%,4,1.3,n,0,0,unstable,14,branched,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,8,1299,First,20-40%,4,0.6,n,0,0,unstable,7.6,branched,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,9,1300,First,40-60%,4,1.7,n,0,0,unstable,13.1,other,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,10,1301,Second,80-100%,4,0.9,y,1,1,buried,8.2,branched,3,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
2023,Heron (offshore),Exposed,Deep,Eco_1,Eco_1 Deep,45270,15,0.520833333,yes,4,15.4,flat,Surface,1.18,0.9204,0.75,6.7375,7,4.5,6,5.4,7,9,10,5,11,1302,First,60-80%,3,1.4,n,0,0,unstable,8.2,branched,4,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Karen
